00                                                    : Line Break
1B 02 XX XX XX XX                                     : Boolean-False Pointer
1B 03 XX XX XX XX                                     : Boolean-True Pointer
1B 04                                                 : Swap Working and Argumentative Memory
1B 05                                                 : Copy Active Memory to WRAM
1B 06                                                 : Copy WRAM to Active Memory
1C 00 XX                                              : Text Color Effects
1C 01 XX                                              : Display Statistics
1C 02 XX                                              : Display Character Name
1C 03 XX                                              : Display Text Character
1C 04                                                 : Open HP/PP Windows
1C 05 XX                                              : Display Item Name
1C 06 XX                                              : Display Teleport Destination Name
1C 07 XX                                              : Display Text Strings Horizontally
1C 08 XX                                              : Display Text Graphics
1C 09                                                 : UNKNOWN
1C 0A XX XX XX XX                                     : Display Numeric Value
1C 0B XX XX XX XX                                     : Display Numeric Value as Money
1C 0C XX                                              : Display Text Strings Vertically
1C 0D                                                 : Display Action User Name
1C 0E                                                 : Display Action Target Name
1C 0F                                                 : UNKNOWN
1C 11 XX                                              : UNKNOWN
1C 12 XX                                              : Display PSI Name
1C 13 XX YY                                           : Display Battle Animation
1C 14 XX                                              : UNKNOWN
1C 15 XX                                              : UNKNOWN
1D 00 XX YY                                           : Give Item to Character and Return Recipient
1D 01 XX YY                                           : Take Item from Character
1D 02 XX                                              : Perform Boolean False Check - Inventory Capacity
1D 03 XX                                              : Perform Boolean True Check - Inventory Vacancy
1D 04 XX YY                                           : Perform Boolean True Check - Absence of Item
1D 05 XX YY                                           : Perform Boolean True Check - Presence of Item
1D 06 XX XX XX XX                                     : Increase ATM Balance
1D 07 XX XX XX XX                                     : Decrease ATM Balance
1D 08 XX XX                                           : Increase Wallet Balance
1D 09 XX XX                                           : Decrease Wallet Balance
1D 0A XX                                              : Return Price of Item
1D 0B XX                                              : Return Selling Price ofItem
1D 0C XX XX                                           : UNKNOWN
1D 0D XX YY YY                                        : Check for Status Ailment
1D 0E XX YY                                           : Give Item to Character, Return Recipient and Number of Items
1D 0F XX XX                                           : UNKNOWN
1D 10 XX XX                                           : UNKNOWN
1D 11 XX XX                                           : UNKNOWN
1D 12 XX XX                                           : UNKNOWN
1D 13 XX XX                                           : UNKNOWN
1D 14 XX XX XX XX                                     : (Check for Cash on Hand) *True if X<$
1D 15 XX XX                                           : UNKNOWN
1D 17 XX XX XX XX                                     : Check for Cash in ATM
1D 18 XX                                              : UNKNOWN
1D 19 XX                                              : (Boolean Check for Number of Party Members) NOTE - Teddy doesn't count!
1D 20                                                 : Check for User Targeting Self
1D 21 XX                                              : Generate Random Number
1D 22                                                 : Check for Exit Mouse Compatibility
1D 23 XX                                              : UNKNOWN
1D 24 XX                                              : "UNKNOWN" (Return Cash Earned Since Last Call?)
1E 00 XX YY                                           : Recover HP by Percent
1E 01 XX YY                                           : Deplete HP by Percent
1E 02 XX YY                                           : Recover HP by Amount
1E 03 XX YY                                           : Deplete HP by Amount
1E 04 XX YY                                           : Restore PP by Percent
1E 05 XX YY                                           : Consume PP by Percent
1E 06 XX YY                                           : Restore PP by Amount
1E 07 XX YY                                           : Consume PP by Amount
1E 08 XX YY                                           : Change Character Level Stat
1E 09 XX YY YY YY                                     : Boost Experience Stat
1E 0A XX YY                                           : Boost IQ Stat
1E 0B XX YY                                           : Boost Guts Stat
1E 0C XX YY                                           : Boost Speed Stat
1E 0D XX YY                                           : Boost Vitality Stat
1E 0E XX YY                                           : Boost Luck Stat
1F 00 XX YY                                           : Play Music Track
1F 01 XX                                              : "UNKNOWN" (Stop Music)
1F 02 XX                                              : Play Sound Effect
1F 03                                                 : Restore Default Music
1F 04 XX                                              : Toggle Text Printing Sound
1F 05                                                 : Disallow Sector Boundaries to Change Music
1F 06                                                 : Allow Sector Boundaries to Change Music
1F 07 XX                                              : Apply Music Effect
1F 11 XX                                              : Add Party Member
1F 12 XX                                              : Remove Party Member
1F 13 XX YY                                           : Change Direction of Character
1F 14 XX                                              : UNKNOWN
1F 15 XX XX YY YY ZZ                                  : Generate Active Sprite
1F 16 XX XX YY                                        : Change Direction of TPT Entry
1F 17 XX XX YY YY ZZ                                  : Generate Active TPT Entry
1F 18 XX XX XX XX XX XX XX                            : UNKNOWN
1F 19 XX XX XX XX XX XX XX                            : UNKNOWN
1F 1A XX XX YY                                        : Generate Floating Sprite near TPT Entry
1F 1B XX XX                                           : Delete Floating Sprite - TPT
1F 1C XX YY                                           : Generate Floating Sprite near Character
1F 1D XX                                              : Delete Floating Sprite - Character
1F 1E XX XX YY                                        : Delete TPT Entry from Screen
1F 1F XX XX YY                                        : Delete Generated Sprite from Screen
1F 20 XX YY                                           : Trigger PSI-style Teleport
1F 21 XX                                              : Teleport to Preset Coordinates
1F 23 XX XX                                           : Trigger Battle Scene
1F 30                                                 : Set Normal Font
1F 31                                                 : Set Mr. Saturn Font
1F 41 XX                                              : Trigger Special Event
1F 50                                                 : Disable Controller Input
1F 51                                                 : Enable Controller Input
1F 52 XX                                              : Generate Number Selector
1F 60 XX                                              : UNKNOWN
1F 61                                                 : Movement Code Trigger
1F 62 XX                                              : UNKNOWN
1F 63 XX XX XX XX                                     : Screen-Reload Pointer
1F 64                                                 : Purge All NPCs
1F 65                                                 : Purge First NPC
1F 66 XX YY ZZ ZZ ZZ ZZ                               : Activate Map Hotspot
1F 67 XX                                              : Deactivate Map Hotspot
1F 68                                                 : Store Coordinates to Memory
1F 69                                                 : Teleport to Stored Coordinates
1F 71 XX YY                                           : Realize PSI Power
1F 81 XX YY                                           : Check If Character Can Use Item
1F 83 XX YY                                           : Equip character XX with his or her YYth item
1F 90                                                 : UNKNOWN
1F A0                                                 : Change Direction of Current TPT Entry to Up
1F A1                                                 : Change Direction of Current TPT Entry to Down
1F A2                                                 : UNKNOWN
1F B0                                                 : Save the Game
1F C0 XX YY YY YY YY                                  : Multiple-entry pointer table (Reference address)
1F D0 XX                                              : Attempt to Fix Items
1F D1                                                 : Return Direction of Nearby Magic Truffle
1F D2 XX                                              : Summon Traveling Photographer
1F D3 XX                                              : Trigger Timed Event
1F E1 XX YY ZZ                                        : Change Map Pallet
1F E4 XX XX YY                                        : Change Direction of Generated Sprite
1F E5 XX                                              : Lock Player Movement
1F E6 XX XX                                           : Delay Appearance of TPT Entry
1F E7 XX XX                                           : UNKNOWN
1F E8 XX                                              : UNKNOWN
1F E9 XX XX                                           : UNKNOWN
1F EA XX XX                                           : UNKNOWN
1F EB XX YY                                           : Render Character Invisible
1F EC XX YY                                           : Render Character Visible
1F ED                                                 : UNKNOWN
1F EE XX XX                                           : UNKNOWN
1F EF XX XX                                           : UNKNOWN
1F F0                                                 : Activate Bicycle
1F F1 XX XX YY YY                                     : Give TPT Entry a New Movement Pattern
1F F2 XX XX YY YY                                     : Give Sprite a New Movement Pattern
1F F3 XX XX YY                                        : Generate Floating Sprite Near Generated Sprite
1F F4 XX XX                                           : Delete Floating Sprite - Generated Sprite
